,"Jan 23","Feb 23","Mar 23","Apr 23","May 23","Jun 23","Jul 23","Aug 23","Sep 23","Oct 23","Nov 23","Dec 23","TOTAL"
"Applied Industrial Technologies",0.00,0.00,1049.00,0.00,1192.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2241.80
"Applied Medical",0.00,0.00,0.00,0.00,0.00,0.00,55223.86,0.00,1862.88,16270.40,0.00,17370.48,90727.62
"Arizona Public Service, CO",0.00,0.00,0.00,52850.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52850.00
"Aspire Bakeries, LLC",3209.04,0.00,0.00,0.00,0.00,1774.64,0.00,1653.52,0.00,0.00,0.00,0.00,6637.20
"ATR Industries Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,373.77,373.77
"Avanti Industries, LLC.",0.00,809.00,3246.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4055.20
"Avocet Aviation Services, LLC",0.00,0.00,1506.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1506.74
"B. Braun Medical, Inc.",12220.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12220.84
"B2 Sign, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,9817.52,0.00,0.00,0.00,0.00,9817.52
"BAE Systems",0.00,9495.42,0.00,0.00,0.00,3103.22,0.00,27800.86,0.00,3474.26,0.00,0.00,43873.76
"Baker Hughes",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1666.42,0.00,0.00,0.00,1666.42
"BC Air Filter Ltd. Group of Companies",0.00,0.00,6431.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6431.28
"Beck Electric Supply-LB",0.00,0.00,0.00,1481.00,0.00,0.00,0.00,0.00,1481.00,0.00,0.00,0.00,2962.00
"Bellflower Unified School District",0.00,0.00,0.00,0.00,0.00,27360.52,0.00,0.00,0.00,22715.42,9084.48,0.00,59160.42
"Bennett Filtration Products",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.55,0.00,0.00,0.00,49.55
"Berry Petroleum, LLC",0.00,18683.60,4400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43767.04,66850.64
"Best Pick General Trading LLC",29682.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29682.40
"Beta Offshore",1116.80,0.00,2201.64,0.00,0.00,0.00,0.00,995.60,461.60,0.00,0.00,0.00,4775.64
"Biodefensor Filters (Protein Kitchen)",2890.00,8564.00,4968.00,16422.00,8564.00,18154.84,8467.51,16537.78,8527.02,0.00,14540.96,10198.52,117834.63
"BIS Marine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1363.22,0.00,0.00,1363.22
"Bisco Industries",0.00,0.00,0.00,807.73,0.00,0.00,3578.05,807.73,0.00,0.00,0.00,0.00,5193.51
"Black & Company Industrial and Safety",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.90,0.00,70.90
"Blue Scope",1014.28,0.00,0.00,0.00,0.00,0.00,0.00,3329.52,0.00,1063.36,0.00,0.00,5407.16
"Braden Filtration",572.40,0.00,0.00,572.40,1428.80,0.00,572.40,10949.40,0.00,48044.40,2170.40,590.40,64900.60
"Build A Sign.",442.00,520.00,1300.00,610.00,0.00,0.00,854.00,610.00,610.00,1130.00,5149.00,610.00,11835.00
"Busch Manufacturing LLC",9055.90,0.00,4255.74,516.00,516.00,5844.65,516.00,4431.86,763.52,9187.28,2336.32,799.50,38222.77
"CA African American Museum",0.00,0.00,0.00,735.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,735.72
"Cal-West  Mechanical",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12340.45,0.00,12340.45
"Cal State University of Fullerton",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,942.20,942.20
"CalEnergy Operating Corp.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26428.00,0.00,0.00,26428.00
"California Institute of Technology",0.00,0.00,0.00,5616.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5616.87
"California Museum of Science & Industry",0.00,0.00,0.00,0.00,19476.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19476.00
"Calpeak - Border",0.00,2091.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2091.60
"Calpeak - Enterprise",0.00,0.00,8774.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8774.60
"Calpeak - Vaca Dixon",0.00,17765.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17765.20
"CalPeak Panoche Plant, MRP",0.00,0.00,21550.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21550.03
"Calpine - Los Esteros CEF",0.00,10508.80,0.00,0.00,0.00,0.00,0.00,0.00,2650.00,0.00,0.00,0.00,13158.80
"Calpine - Pastoria",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14313.60,14313.60
"Calpoly State University, San Luis Obispo",17126.80,2958.33,0.00,0.00,4978.54,0.00,0.00,0.00,0.00,2260.52,25529.28,0.00,52853.47
"Camfil-Jonesboro",0.00,0.00,0.00,158.75,0.00,0.00,0.00,19950.00,0.00,0.00,0.00,0.00,20108.75
"Camfil Power Systems",0.00,47.30,0.00,0.00,4799.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4846.30
"Camfil USA, Inc.",0.00,0.00,12366.76,7577.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12592.32,32536.21
"Canyon Power Plant / Kraemer Peaking",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19900.88,0.00,19900.88
"Casa Palmera",380.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,380.96
"CBF Bakery Systems",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,640.12,0.00,640.12
"CBRE- Tacoma",0.00,0.00,0.00,0.00,1130.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1130.68
"CBRE, Inc.",0.00,2101.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2101.16
"CEC Technologies,Inc.",0.00,0.00,0.00,0.00,0.00,0.00,6957.75,0.00,0.00,0.00,0.00,0.00,6957.75
"Cedar-Sinai Medical Center",44678.79,0.00,1630.80,14686.84,129758.95,78597.83,90231.05,13248.16,5216.84,0.00,51214.96,117195.08,546459.30
"Cedars-Sinai Marina Hospital",10247.68,2022.02,791.12,4032.83,6728.49,894.06,291.12,0.00,39222.69,108.88,7075.30,11188.28,82602.47
"Cemtek Enviromental",0.00,0.00,0.00,630.00,0.00,0.00,0.00,315.00,315.00,466.00,0.00,0.00,1726.00
"Centinela Hospital Medical Center-",8087.14,1210.50,1210.50,10180.23,1210.50,1210.50,28027.62,0.00,2421.00,6990.07,1435.74,1210.50,63194.30
"Chevron Products Co-Richmond, CA",0.00,0.00,0.00,7638.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7638.40
"Chevron Products Company- El Segundo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5583.34,5583.34
"Childrens Hospital of Los Angeles","","","","","","","","","","","","",
"0000587428",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34957.27,34826.65,0.00,0.00,69783.92
"0000683567",19551.31,68113.26,25376.50,16469.81,25249.95,12234.36,0.00,274.37,42171.50,12570.20,26582.23,13814.16,262407.65
"0000683569",0.00,20379.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20379.84
"Childrens Hospital of Los Angeles - Other",33101.24,6929.14,4479.72,132234.92,4697.14,171345.73,271.04,3086.07,21123.97,40776.40,7377.12,77682.54,503105.03
"Total Childrens Hospital of Los Angeles",52652.55,95422.24,29856.22,148704.73,29947.09,183580.09,271.04,3360.44,98252.74,88173.25,33959.35,91496.70,855676.44
"CHOC-",32884.35,0.00,0.00,48207.01,114.72,0.00,30651.25,0.00,2538.32,20065.71,0.00,0.00,134461.36
"Circulating Air, Inc.",0.00,0.00,0.00,0.00,1537.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1537.68
"City of Hope Hospital-Duarte",0.00,0.00,0.00,34641.58,26959.87,37584.23,43000.82,24214.23,19796.44,13663.68,31030.55,20587.49,251478.89
"City of Hope Orange County",0.00,0.00,0.00,0.00,13856.11,0.00,0.00,3792.28,0.00,2666.67,8161.95,0.00,28477.01
"City of Redding Electric Utility",0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00
"City of Riverside Public Utilities",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2250.80,0.00,0.00,2250.80
"City of Santa Clara",0.00,0.00,0.00,979.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,979.66
"City of Vernon",0.00,0.00,3598.38,0.00,6938.82,0.00,0.00,0.00,4519.40,0.00,912.60,6550.16,22519.36
"Civil-Mechanical Contractor/Aircond Hawai",4827.36,0.00,0.00,0.00,2808.24,3971.40,963.12,0.00,1334.16,528.72,2056.32,0.00,16489.32
"Clark Air Systems",0.00,0.00,0.00,2028.60,0.00,0.00,0.00,0.00,3187.80,0.00,0.00,0.00,5216.40
"CLG International",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10685.75,0.00,0.00,10685.75
"College Medical Center",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4126.74,4126.74
"Colliers International",0.00,0.00,0.00,0.00,0.00,0.00,0.00,8859.84,0.00,0.00,0.00,0.00,8859.84
"Colorado Air Filters",1096.92,0.00,0.00,4139.36,3174.36,0.00,0.00,0.00,0.00,480.40,0.00,0.00,8891.04
"Comat Aerospace Corp.",0.00,0.00,0.00,0.00,1363.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1363.22
"COMMERCIAL FILTER SALES",0.00,0.00,0.00,0.00,175.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.50
"Continental Development Corporation",0.00,10341.92,6811.50,0.00,8648.88,9194.28,0.00,0.00,17843.16,1214.48,0.00,0.00,54054.22
"Coso Operating Company",0.00,0.00,0.00,0.00,0.00,0.00,0.00,5320.68,0.00,0.00,0.00,0.00,5320.68
"County Sanitation District of Los Angeles",0.00,14879.54,0.00,0.00,0.00,0.00,0.00,12343.36,0.00,0.00,0.00,0.00,27222.90
"Coyote Springs Plant",0.00,0.00,14258.63,0.00,15417.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29676.03
"Crockett Cogeneration",0.00,0.00,0.00,0.00,38571.40,0.00,0.00,38402.62,0.00,0.00,0.00,313047.93,390021.95
"D A V General Services, LLC",0.00,0.00,0.00,0.00,0.00,3407.10,0.00,3293.66,12389.73,0.00,0.00,1970.00,21060.49
"Dallas Area  Rapid Transit",1172.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1172.16
"Dave Downing & Associates",778.52,0.00,4487.63,0.00,544.56,0.00,0.00,0.00,0.00,0.00,4114.00,0.00,9924.71
"Denton Energy Center",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.65,48255.00,0.00,48525.65
"Department of Veteran Affairs Los Angeles",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,845.00,0.00,0.00,845.00
"Diana's Mexican Food Products",0.00,0.00,0.00,0.00,637.72,0.00,0.00,509.14,0.00,0.00,0.00,0.00,1146.86
"Diversified Supply, Inc.",0.00,0.00,0.00,445.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,445.40
"DMG Corporation- Orange",1797.80,0.00,0.00,2014.36,0.00,227.80,0.00,3484.50,0.00,0.00,0.00,0.00,7524.46
"DMG North",0.00,0.00,0.00,0.00,0.00,6041.62,0.00,0.00,0.00,0.00,0.00,0.00,6041.62
"Dominion Energy",0.00,0.00,0.00,0.00,0.00,3964.00,0.00,3725.00,0.00,0.00,0.00,0.00,7689.00
"DTE San Diego",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4099.57,1516.00,5615.57
"DXP Enterprises, Inc",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Dynegy Moss Landing, LLC",0.00,0.00,23173.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23173.20
"Eagle Global",0.00,0.00,15000.00,0.00,0.00,0.00,0.00,6970.00,0.00,0.00,0.00,0.00,21970.00
"Ecolution",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"ECSA Grupo de Empresas",0.00,0.00,0.00,0.00,2461.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2461.44
"Edison Material Supply, LLC",15050.36,6307.96,160166.52,0.00,6307.96,0.00,10287.60,11350.05,0.00,22058.47,9641.04,3600.88,244770.84
"Eisenhower Medical Center",26037.23,18315.20,30727.68,82265.25,48957.77,24226.86,64492.60,28309.53,24381.10,20295.56,59251.95,32388.37,459649.10
"El Paso Electric Company",18474.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4143.75,0.00,0.00,0.00,22617.75
"Emanate Health","","","","","","","","","","","","",
"Foothill Presbyterian Hospital",2608.11,350.00,5748.12,13281.56,350.00,350.00,2608.11,350.00,5150.72,2608.11,350.00,350.00,34104.73
"Inter-Community Campus",6717.79,350.00,1637.96,8707.46,350.00,350.00,6669.79,350.00,350.00,7298.60,350.00,350.00,33481.60
"Queen of the Valley",7898.76,500.12,18547.46,7912.28,533.06,505.14,7912.28,619.80,505.14,7918.62,505.14,712.88,54070.68
"Total Emanate Health",17224.66,1200.12,25933.54,29901.30,1233.06,1205.14,17190.18,1319.80,6005.86,17825.33,1205.14,1412.88,121657.01
"Emcor Services Mesa Energy",0.00,0.00,25721.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25721.93
"Energy Development, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,854.00,0.00,0.00,0.00,854.00
"Engine Systems Integration",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44684.00,44684.00
"Engineering Applications, LLC",0.00,144.78,0.00,144.78,144.78,0.00,144.78,144.78,0.00,0.00,144.78,0.00,868.68
"Erving Paper Mill",0.00,0.00,0.00,0.00,0.00,0.00,0.00,2214.14,0.00,0.00,0.00,0.00,2214.14
"Ethos Energy Group",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120197.52,0.00,0.00,0.00,120197.52
"Ethos Energy Group - Wolf",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103307.00,0.00,103307.00
"Everest Sciences, an S&T Compan",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3136.58,0.00,3136.58
"Fabricas Monterrey S.A. de C.V. C/O",0.00,0.00,0.00,0.00,0.00,4572.72,0.00,0.00,0.00,0.00,0.00,0.00,4572.72
"Fastenal Company Purchasing",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,693.00,0.00,693.00
"Federal Reserve Bank of San Francisco",2432.00,0.00,0.00,2432.00,1815.20,0.00,22680.44,1815.20,3050.54,0.00,4868.00,0.00,39093.38
"Ferguson Industrial",2184.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2184.00
"Ferguson Industrial/Amgen",495.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1737.72,0.00,0.00,2232.72
"FilTech, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,54916.40,0.00,0.00,51375.75,0.00,0.00,106292.15
"Filter Recon",0.00,1740.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1240.26,1240.26,0.00,4221.44
"Filter Resources",0.00,0.00,0.00,3001.75,6332.02,12196.29,11940.44,1671.00,13986.36,7254.62,9894.83,8926.08,75203.39
"Filter Resources, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,18007.92,0.00,1419.60,0.00,1419.60,20847.12
"Filter Service & Testing",0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.00,0.00,0.00,0.00,0.00,145.00
"Filter Technology Company",0.00,19544.00,0.00,0.00,0.00,6980.00,0.00,0.00,3490.00,14766.40,0.00,0.00,44780.40
"Filter Technology of Ohio",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.00,0.00,141.84,0.00,361.84
"Five Star Airport Alliance",0.00,0.00,0.00,0.00,0.00,0.00,750.69,0.00,0.00,0.00,0.00,0.00,750.69
"Fleetlife, Inc..",0.00,0.00,157.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.06,0.00,191.26
"Foss Maritime Company",0.00,0.00,3182.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3182.80
"Fox Valley Filter; P&M",0.00,0.00,0.00,0.00,2085.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2085.00
"Frankal Innovations",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48434.40,0.00,0.00,0.00,48434.40
"G&B Environmental, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4186.63,0.00,0.00,0.00,4186.63
"G7 Technology Development Ltd., Co",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4505.37,0.00,0.00,4505.37
"Garden Grove Hospital and Medical Center",587.07,2960.56,2781.10,87.07,1051.42,0.00,0.00,15112.35,1821.81,0.00,3996.35,23.88,28421.61
"Gasket Manufacturing Company",929.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6099.06,0.00,7028.64
"GE Power- Alstom Power, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84357.12,84357.12
"General Mills Operations, Inc.",0.00,0.00,0.00,1843.52,0.00,0.00,1843.52,0.00,0.00,0.00,0.00,0.00,3687.04
"Gibo Kodama Chairs",0.00,0.00,0.00,0.00,0.00,2242.80,0.00,0.00,0.00,0.00,0.00,0.00,2242.80
"Glendale Adventist Medical Center",10969.83,10969.83,12182.35,9894.34,10969.83,5653.38,0.00,21838.48,12272.27,10969.83,9903.28,10969.83,126593.25
"Globe Electric Supply Co. Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12418.00,12418.00
"Golden Gate Marine & Industrial",4197.38,0.00,0.00,0.00,0.00,2030.92,0.00,0.00,0.00,1226.84,0.00,0.00,7455.14
"Golden Valley Electric Association, Inc.",0.00,0.00,3180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3180.00
"Google - McCarren",0.00,0.00,0.00,0.00,0.00,0.00,626.28,0.00,0.00,0.00,0.00,0.00,626.28
"Graetz Mfg",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,316.84,316.84
"Greenleaf Power",576.00,0.00,833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1409.00
"Grifols Biological Inc.",1910.58,232.28,0.00,95755.39,1625.16,5632.04,0.00,194.58,10028.32,0.00,0.00,93558.74,208937.09
"Group Dekko, Inc.",0.00,0.00,0.00,569.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,569.52
"Harbor-UCLA Medical Center",16052.84,4540.24,4294.98,0.00,10483.40,0.00,0.00,452.96,4498.80,6967.66,5071.16,0.00,52362.04
"Harry L. Oswald Generating Station",0.00,52633.20,0.00,0.00,0.00,0.00,0.00,28994.20,0.00,0.00,0.00,0.00,81627.40
"Hatfield & Company, Inc.",0.00,0.00,6071.21,0.00,5810.85,2435.85,0.00,3333.28,0.00,2824.00,3242.95,0.00,23718.14
"Hawaiian Electric Light Company",-549.08,51341.25,966.30,520.00,1027.20,14136.90,0.00,7759.20,90.54,0.00,9583.00,0.00,84875.31
"Henry's Hardware & Supply",0.00,0.00,0.00,16403.28,9106.80,8083.24,10914.92,13499.20,9369.56,7546.00,15400.04,3311.28,93634.32
"Herr Industrial",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17505.60,17505.60
"Herra Mag, S.A. De C.V.",0.00,2446.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2446.00
"Herra Mag. S.A. de C.V",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6074.56,0.00,0.00,0.00,6074.56
"HI-Tech Sheet Metal",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,662.60,662.60
"High Desert Health Center",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3134.08,0.00,0.00,3134.08
"High Desert Power Plant",0.00,0.00,26670.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26670.00
"HMF Racing LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,357.00,0.00,357.00
"Hoag Hospital",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20170.50,20170.50
"Hoffman Industrial Equipment & Supply",0.00,0.00,0.00,0.00,0.00,4481.92,0.00,0.00,0.00,0.00,0.00,27803.94,32285.86
"Honda Performance Dev., Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1867.50,0.00,0.00,1867.50
"HPM International Corp.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88900.48,0.00,0.00,0.00,88900.48
"HRL Laboratories, LLC",0.00,0.00,0.00,0.00,0.00,0.00,2888.62,0.00,0.00,0.00,83211.73,0.00,86100.35
"Hudson Electric Sales Corp",0.00,0.00,359.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,359.22
"Huntington Beach Hospital",500.00,0.00,3150.17,0.00,0.00,14204.65,500.00,0.00,19111.70,0.00,0.00,7930.50,45397.02
"Huntington Memorial Hospital",3293.77,0.00,26803.66,55347.92,0.00,0.00,24029.38,0.00,0.00,0.00,0.00,21041.88,130516.61
"HVAC Services",0.00,0.00,548.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,548.13
"Industrial Filtration, Inc..",0.00,0.00,0.00,0.00,0.00,0.00,0.00,4156.46,0.00,0.00,0.00,0.00,4156.46
"Ingersoll Rand.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,764.00,0.00,764.00
"Ingeteam",3441.82,3555.49,840.75,0.00,0.00,605.34,672.60,0.00,605.34,0.00,1076.16,369.93,11167.43
"Inland Empire WIndustrial",0.00,690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,690.00
"Integrated Air",0.00,0.00,0.00,3368.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3368.61
"Integrated Power",0.00,0.00,0.00,0.00,0.00,7035.00,0.00,0.00,0.00,0.00,0.00,0.00,7035.00
"Integrated Power Services",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3440.94,0.00,0.00,0.00,3440.94
"INTER WORLDWIDE TRADING",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1650.00,0.00,0.00,0.00,1650.00
"Intrinsyx Technologies Corporation",1053.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1053.75
"Jack T. Carter Company, Inc.",4702.51,0.00,11441.48,0.00,4011.56,1550.52,5863.67,11363.17,11345.53,0.00,0.00,0.00,50278.44
"Jackson Hole Airport",0.00,0.00,0.00,0.00,0.00,1632.50,0.00,0.00,0.00,0.00,0.00,0.00,1632.50
"Jazz Semiconductor",612.00,0.00,0.00,5188.96,0.00,0.00,0.00,18919.78,0.00,0.00,0.00,6916.45,31637.19
"JBC Technologies",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
