,"Jan 25","Feb 25","Mar 25","Apr 25","May 25","Jun 25","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","TOTAL"
"Berry Petroleum, LLC",0.00,0.00,17789.09,21205.88,0.00,0.00,0.00,0.00,0.00,13318.25,19196.96,5940.72,77450.90
"Best Buy Painting Inc",0.00,0.00,0.00,0.00,0.00,420.91,0.00,0.00,0.00,0.00,0.00,0.00,420.91
"Beta Offshore",24276.03,0.00,0.00,1276.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25552.59
"Biodefensor Filters (Protein Kitchen)",4326.44,0.00,3400.80,7552.00,3209.17,0.00,0.00,1276.90,1828.90,1878.70,0.00,1878.70,25351.61
"Biola University",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.00,174.00
"Bisco Industries",897.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,897.48
"Blue IAQ",1161.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13490.93,0.00,0.00,4522.89,19174.82
"Blue Scope",2132.66,0.00,2833.84,0.00,0.00,0.00,2749.12,0.00,0.00,2803.84,0.00,0.00,10519.46
"Blue Trade Solutions, LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2282.00,2282.00
"Braden Filtration",927.59,0.00,572.40,572.40,2857.60,0.00,572.40,0.00,572.40,572.40,0.00,572.40,7219.59
"Broadcom - San Jose",0.00,0.00,0.00,0.00,0.00,0.00,3311.66,0.00,0.00,0.00,0.00,0.00,3311.66
"Build A Sign.",1540.00,775.50,1845.00,1254.00,854.00,2316.00,2963.00,4108.00,680.00,1360.00,1672.00,924.50,20292.00
"Build Fikst",0.00,0.00,0.00,0.00,314.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314.00
"Busch Manufacturing LLC",1161.78,2850.30,5653.75,4283.23,169.99,8501.07,7664.00,91.67,1241.47,2532.90,7473.55,2964.00,44587.71
"Business Tribune Global Company Ltd",3545.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3545.91
"Cache Energy",0.00,0.00,0.00,0.00,194.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.84
"Cal State Long Beach",0.00,0.00,0.00,0.00,0.00,0.00,27674.44,0.00,34716.20,0.00,6068.20,833.60,69292.44
"CalEnergy Operating Corp.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,70789.60,0.00,0.00,0.00,0.00,70789.60
"Calgren Renewable Fuels, LLC",0.00,0.00,3810.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3810.41
"Calhoun & DeJong, Inc",1365.50,0.00,0.00,0.00,0.00,0.00,0.00,789.68,0.00,0.00,0.00,788.08,2943.26
"California Institute of Technology",8537.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8537.56
"California Museum of Science & Industry",0.00,0.00,0.00,15205.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15205.00
"California Resources Corporation",2144.00,21883.09,0.00,0.00,2552.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26579.59
"California State Univ of Fullerton",0.00,0.00,0.00,0.00,0.00,0.00,0.00,524.80,0.00,13501.90,0.00,0.00,14026.70
"Calpeak - Border",0.00,0.00,25874.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25874.00
"Calpeak - Enterprise",0.00,0.00,0.00,21980.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21980.08
"Calpeak - Vaca Dixon",0.00,0.00,14904.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14904.44
"CalPeak Panoche Plant, MRP",0.00,8284.16,0.00,0.00,0.00,0.00,1074.68,0.00,0.00,0.00,0.00,0.00,9358.84
"Calpine - Los Esteros CEF",0.00,0.00,0.00,0.00,11059.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11059.20
"Calpine - Otay Mesa",0.00,0.00,44825.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44825.40
"Calpine - Pastoria",0.00,0.00,0.00,0.00,18325.44,0.00,0.00,0.00,24106.68,0.00,6108.48,0.00,48540.60
"Calpoly State University, San Luis Obispo",1350.12,0.00,2462.94,0.00,573.08,10205.10,0.00,23054.10,0.00,16622.48,0.00,0.00,54267.82
"Camfil-Jonesboro",0.00,1360.00,36036.80,0.00,14136.57,758.00,10022.50,9643.65,7250.00,0.00,0.00,3190.00,82397.52
"Camfil-Longview",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,870.00,0.00,0.00,0.00,870.00
"CAMFIL - KILGORE",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1740.00,0.00,1740.00
"Camfil España S.A",0.00,0.00,0.00,0.00,0.00,6116.99,0.00,0.00,2860.00,0.00,0.00,1219.33,10196.32
"Camfil Power Systems",4959.00,4959.00,0.00,0.00,0.00,8546.40,0.00,14208.00,0.00,526.60,0.00,0.00,33199.00
"Camfil USA, Inc.",8042.20,8184.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16226.48
"CAMS Long Beach Generation LLC.",0.00,0.00,0.00,386.72,0.00,0.00,321.28,0.00,0.00,0.00,0.00,0.00,708.00
"Canyon Power Plant / Kraemer Peaking",0.00,0.00,0.00,102056.96,0.00,95620.00,0.00,0.00,0.00,0.00,0.00,686.60,198363.56
"Cardinal Paint and Powder",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219.45,0.00,0.00,0.00,219.45
"Casa Colina Hospital",0.00,0.00,9075.84,626.63,800.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10502.73
"CBF Bakery Systems",0.00,1200.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,885.26,2085.51
"CBRE, Inc.",1198.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1198.68
"Cedar-Sinai Medical Center",533.52,125860.60,10876.75,1226.34,0.00,39110.72,14086.34,44285.67,62718.52,44536.99,652.08,162245.17,506132.70
"Cedars-Sinai Marina Hospital",38384.67,54.44,0.00,40145.06,8130.45,54.44,11213.79,54.44,589.00,11274.33,0.00,4868.94,114769.56
"Cemtek Enviromental",346.50,0.00,630.00,0.00,0.00,0.00,945.00,0.00,0.00,0.00,0.00,0.00,1921.50
"Centinela Hospital Medical Center-",10994.34,4965.57,622.88,49652.34,622.88,12622.88,32930.68,604.60,5840.56,10007.55,622.88,13433.63,142920.79
"Century Peaker Plant - Colton Power LP 67",0.00,0.00,73193.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73193.20
"CHA Hollywood Medical Center LP",0.00,0.00,0.00,0.00,2818.72,0.00,0.00,0.00,0.00,0.00,1091.84,0.00,3910.56
"Chevron Products Co-Richmond, CA",4276.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4276.30
"Chevron Products Company- El Segundo",0.00,0.00,6558.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6558.00
"Childrens Hospital of Los Angeles","","","","","","","","","","","","",
"0000587428",0.00,0.00,0.00,0.00,3661.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3661.32
"0000683567",0.00,10074.11,58012.99,16972.67,12875.78,8973.14,3619.65,0.00,0.00,0.00,0.00,0.00,110528.34
"0000683569",0.00,0.00,6707.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6707.22
"Childrens Hospital of Los Angeles - Other",33659.70,66132.41,37220.61,20545.13,17963.00,16540.65,98230.21,45840.03,0.00,74769.80,75863.97,66444.90,553210.41
"Total Childrens Hospital of Los Angeles",33659.70,76206.52,101940.82,37517.80,34500.10,25513.79,101849.86,45840.03,0.00,74769.80,75863.97,66444.90,674107.29
"Chillicothe Municipal Utilities",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20584.00,0.00,0.00,20584.00
"Chino Valley Medical Center",0.00,0.00,8192.34,0.00,0.00,0.00,0.00,0.00,1593.33,0.00,1577.47,0.00,11363.14
"CHOC-",29011.61,0.00,0.00,0.00,66121.13,0.00,13388.86,2428.11,6797.63,23.91,20363.26,16654.47,154788.98
"City of Hope Hospital-Duarte",22872.40,29411.17,23263.84,29760.21,34450.66,84171.88,54744.52,68117.14,21211.70,22131.63,14479.47,86211.91,490826.53
"City of Hope Orange County",0.00,10731.43,1194.44,37.08,21038.77,339.84,5286.48,6026.04,0.00,6121.60,0.00,5760.25,56535.93
"City of Redding Electric Utility",0.00,0.00,0.00,0.00,639.50,5015.31,0.00,0.00,0.00,0.00,0.00,0.00,5654.81
"City of Riverside Public Utilities",0.00,4911.46,0.00,3784.80,0.00,0.00,0.00,2446.94,0.00,0.00,0.00,6545.68,17688.88
"City of Santa Clara",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6635.00,6635.00
"City of Vernon",0.00,0.00,0.00,0.00,4885.00,3095.74,0.00,0.00,0.00,0.00,0.00,4679.50,12660.24
"Civil-Mechanical Contractor/Aircond Hawai",0.00,0.00,0.00,0.00,0.00,0.00,2291.40,0.00,0.00,0.00,0.00,0.00,2291.40
"Clark Air Systems",0.00,2028.60,0.00,0.00,9609.05,0.00,0.00,627.70,0.00,0.00,0.00,0.00,12265.35
"Classica Cruise Line",0.00,4120.72,0.00,0.00,0.00,4120.72,0.00,0.00,0.00,0.00,4121.56,0.00,12363.00
"Clean Liquid Systems, LLC",0.00,0.00,0.00,0.00,0.00,0.00,318.60,0.00,0.00,0.00,0.00,285.60,604.20
"Cleanrooms West",0.00,456.64,0.00,1154.70,0.00,31727.84,0.00,0.00,0.00,0.00,0.00,0.00,33339.18
"CLG International",8470.00,0.00,0.00,0.00,0.00,0.00,2081.64,0.00,0.00,1749.60,0.00,0.00,12301.24
"Colorado Air Filters",0.00,0.00,0.00,1389.86,352.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1741.94
"Comfort Demand Mechanical Service",3072.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4117.64,0.00,0.00,7189.64
"COMMERCIAL FILTER SALES",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2803.62,0.00,0.00,0.00,2803.62
"Continental Development Corporation",17693.04,0.00,0.00,0.00,0.00,0.00,17693.04,0.00,0.00,0.00,0.00,0.00,35386.08
"Contour Global",30984.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30984.12
"County Sanitation District of Los Angeles",0.00,0.00,16271.36,0.00,0.00,9553.28,0.00,0.00,0.00,0.00,0.00,9553.28,35377.92
"Coyote Springs Plant",0.00,0.00,17048.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,735.28,17784.08
"Crockett Cogeneration",0.00,0.00,0.00,0.00,45287.84,0.00,0.00,37199.52,0.00,0.00,37199.52,0.00,119686.88
"D A V General Services, LLC",8526.99,0.00,0.00,185.14,0.00,5843.48,0.00,4956.65,0.00,0.00,0.00,0.00,19512.26
"Daikin Applied",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12813.18,0.00,12813.18
"Dave Downing & Associates",35387.54,3762.24,0.00,1340.62,767.68,0.00,30827.56,0.00,0.00,0.00,0.00,4128.98,76214.62
"Davis Electric",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,862.57,0.00,0.00,862.57
"Delta Pump Systems",2156.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2156.00
"Department of General Services",499.26,0.00,0.00,0.00,73946.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74445.26
"Department of State Hospitals – Patton",0.00,0.00,22211.33,0.00,22537.09,0.00,0.00,21549.89,0.00,0.00,0.00,83853.79,150152.10
"Department of Veteran Affairs Los Angeles",0.00,0.00,0.00,9483.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9483.31
"Desert Valley Hospital",0.00,9758.70,0.00,0.00,15447.16,0.00,8659.98,2447.16,0.00,2447.16,0.00,2503.65,41263.81
"DHA Filter",0.00,0.00,0.00,0.00,0.00,0.00,655.00,20.35,9666.00,0.00,0.00,655.00,10996.35
"DMG - San Diego",6980.40,12841.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19821.40
"DMG Corporation- Orange",0.00,0.00,0.00,0.00,1150.16,0.00,2767.22,0.00,0.00,0.00,0.00,0.00,3917.38
"Dow-Elco",0.00,0.00,0.00,2433.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2433.60
"DT Midstream",0.00,0.00,566.82,0.00,0.00,0.00,0.00,0.00,0.00,1130.28,0.00,0.00,1697.10
"DTE San Diego",0.00,0.00,0.00,0.00,3836.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3836.68
"Duke Energy",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88817.40,0.00,0.00,0.00,88817.40
"Dynegy Moss Landing, LLC",0.00,27747.60,0.00,0.00,0.00,17037.44,0.00,0.00,19003.62,0.00,0.00,0.00,63788.66
"Eastern Municipal Water District",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33704.00,33704.00
"Edison Material Supply, LLC",28298.32,13727.95,9094.96,534.48,378277.84,7064.26,2500.47,4852.24,0.00,10263.08,10079.74,5804.10,470497.44
"Eisenhower Medical Center",2254.37,10874.16,61592.04,0.00,22379.98,22839.86,99752.41,22839.86,0.00,16512.14,11986.98,62684.53,333716.33
"El Paso Electric Company",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7173.75,0.00,0.00,7173.75
"Elevating Sales Corp.",30366.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30366.97
"Elkem Inc",0.00,0.00,0.00,0.00,0.00,1308.20,0.00,0.00,0.00,0.00,0.00,0.00,1308.20
"Emanate Health","","","","","","","","","","","","",
"Foothill Presbyterian Hospital",4461.53,350.00,3812.96,0.00,3787.33,0.00,3782.81,350.00,3812.96,3787.33,350.00,0.00,24494.92
"Inter-Community Campus",0.00,87.50,87.50,8238.84,87.50,0.00,8299.73,87.50,87.50,8973.84,29587.73,0.00,55537.64
"Queen of the Valley",11763.49,500.05,500.05,0.00,14022.82,0.00,11828.96,9213.59,26695.16,12622.43,500.05,0.00,87646.60
"Total Emanate Health",16225.02,937.55,4400.51,8238.84,17897.65,0.00,23911.50,9651.09,30595.62,25383.60,30437.78,0.00,167679.16
"Encino Hospital Medical Center",0.00,0.00,0.00,0.00,0.00,12577.36,0.00,6063.67,81.37,6141.49,0.00,81.37,24945.26
"Energy Development, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3254.88,0.00,0.00,0.00,3254.88
"Engineering Applications, LLC",0.00,144.78,0.00,144.78,0.00,0.00,144.78,0.00,0.00,144.78,0.00,0.00,579.12
"Erving Paper Mill",0.00,0.00,0.00,1744.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1744.80
"Ethos Energy Group",0.00,0.00,47467.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47467.88
"Ethos Energy Group - Wolf",0.00,0.00,11560.51,12379.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23940.05
"ETI Energy Tools",13517.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15632.90,0.00,0.00,29150.10
"Ex Trade LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,2258.00,0.00,0.00,0.00,0.00,2258.00
"Fairbanks Morse Defense",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1721.48,0.00,0.00,1721.48
"Fastenal Company-Oxnard",0.00,0.00,0.00,656.00,0.00,0.00,0.00,0.00,656.00,0.00,0.00,0.00,1312.00
"Federal Reserve Bank of San Francisco",0.00,2706.58,0.00,0.00,0.00,0.00,5438.00,0.00,0.00,26057.40,0.00,0.00,34201.98
"FELPET (NIG) LIMITED",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7030.00,0.00,0.00,7030.00
"Ferguson Industrial/Amgen",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3850.80,0.00,0.00,0.00,3850.80
"FilTech, Inc.",0.00,0.00,5991.78,0.00,58704.00,0.00,0.00,0.00,0.00,0.00,0.00,1140.05,65835.83
"Filter Resources",14151.70,8944.97,6216.12,12633.56,9318.46,0.00,25718.14,24967.26,6691.26,6649.02,1657.26,33081.91,150029.66
"Filter Resources, Inc.",2839.20,0.00,0.00,2839.20,0.00,0.00,0.00,2974.40,0.00,0.00,2839.20,2839.20,14331.20
"Filter Services Inc",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Filter Technologies, Inc.",0.00,0.00,0.00,-615.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-615.60
"Filter Technology Company",9772.00,0.00,0.00,9772.00,0.00,9772.00,41122.80,6980.00,16333.20,1096.58,0.00,0.00,94848.58
"Filtrec Middle East FZC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4385.50,0.00,4385.50
"Fleetlife, Inc..",0.00,1433.03,307.56,0.00,719.28,0.00,0.00,7472.00,0.00,0.00,0.00,0.00,9931.87
"Focuz International Inc.",0.00,0.00,1752.76,871.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2624.18
"Form Energy",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,874.20,0.00,0.00,0.00,874.20
"Foss Maritime Company",0.00,0.00,3954.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3954.64
"Fox Valley Filter; P&M",0.00,0.00,0.00,2208.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2208.00
"FPL - Florida Power & Light",0.00,0.00,0.00,0.00,0.00,0.00,6597.15,2269.36,6658.78,5972.00,597.20,0.00,22094.49
"Full Circle Industrial",0.00,0.00,0.00,0.00,0.00,0.00,0.00,9646.40,0.00,0.00,0.00,0.00,9646.40
"Garden Grove Hospital and Medical Center",0.00,16395.99,0.00,0.00,3952.69,0.00,6294.66,0.00,13522.70,4244.88,0.00,0.00,44410.92
"Garney Holding Companies",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9369.73,9369.73
"Gasket Manufacturing Company",0.00,0.00,0.00,982.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,982.66,1965.32
"Gasolix",0.00,0.00,1095.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1095.00
"GE Power- Alstom Power, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,52060.16,0.00,0.00,0.00,0.00,0.00,52060.16
"Geamsa",0.00,0.00,0.00,0.00,1532.40,0.00,0.00,0.00,0.00,0.00,2065.13,0.00,3597.53
"General Mills Operations, Inc.",0.00,0.00,0.00,0.00,0.00,1843.52,0.00,1843.52,0.00,0.00,0.00,0.00,3687.04
"Gibo Kodama Chairs",0.00,0.00,2548.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2548.22
"Glenair, Inc.",0.00,0.00,0.00,0.00,528.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,528.93
"Glendale Adventist Medical Center",10571.03,10554.45,17424.71,9546.75,10571.03,6052.96,10571.03,9521.77,11990.37,10571.03,9823.26,13485.97,130684.36
"Glendale Memorial Hospital",0.00,0.00,0.00,2130.71,0.00,55973.48,0.00,0.00,0.00,0.00,0.00,0.00,58104.19
"Glendale Water and Power",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,414.35,414.35
"Green Ramp Group LLC",0.00,0.00,0.00,0.00,0.00,5228.54,0.00,0.00,0.00,0.00,0.00,0.00,5228.54
"Grifols Biological Inc.",1620.68,0.00,0.00,77162.25,0.00,0.00,963.88,11397.67,1300.90,70.98,7854.35,69586.38,169957.09
