,"Jan 23","Feb 23","Mar 23","Apr 23","May 23","Jun 23","Jul 23","Aug 23","Sep 23","Oct 23","Nov 23","Dec 23","TOTAL"
"Commercial Filters Sales",696.00,0.00,762.00,0.00,0.00,0.00,1828.80,914.40,0.00,0.00,0.00,0.00,4201.20
"D-Mark",0.00,0.00,0.00,0.00,0.00,8966.94,0.00,0.00,0.00,0.00,0.00,0.00,8966.94
"Fiber Bond Corporation",0.00,0.00,9713.60,34295.52,0.00,0.00,0.00,0.00,34295.52,34674.24,1277.60,0.00,114256.48
"Filter-Mart Corporation",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.72,102.72
"Fleetlife, Inc.",0.00,0.00,922.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,922.88
"Fleetpride Inc.",1153.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1153.56
"Flodraulic Group, Inc.",0.00,0.00,0.00,0.00,1823.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1823.04
"Fluitek Corporation. (PAID BY CC)",0.00,1127.08,0.00,534.60,0.00,0.00,0.00,2993.52,9542.48,0.00,296.50,0.00,14494.18
"Freudenberg Filtration Technologies, L.P.",130522.40,67336.11,123600.00,0.00,94025.00,104604.02,64748.00,61804.00,131938.64,134894.00,128250.50,123968.00,1165690.67
"Glasfloss Industries",79593.48,71107.24,117993.14,95472.47,86623.13,58738.62,32147.35,89062.63,51538.86,89035.99,122935.98,60546.04,954794.93
"Hilliard Corporation",29480.60,26900.08,18731.98,15610.68,18026.95,5123.76,2118.90,14574.20,13404.56,59395.88,3110.92,51976.88,258455.39
"HuTek (Asia) Company Ltd",0.00,0.00,0.00,36312.27,0.00,0.00,0.00,0.00,0.00,36019.10,0.00,0.00,72331.37
"Industrial Filtration, Inc.",0.00,0.00,0.00,0.00,0.00,2497.00,0.00,919.04,0.00,0.00,359.00,0.00,3775.04
"Ingersoll Rand",0.00,0.00,0.00,0.00,0.00,0.00,0.00,3223.00,0.00,0.00,0.00,0.00,3223.00
"Keyston Bros",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2375.40,2067.19,0.00,3561.00,8003.59
"Killer Filter-PPD CREDIT CARD",0.00,667.02,0.00,0.00,0.00,41.40,0.00,0.00,0.00,0.00,0.00,0.00,708.42
"Liberty Industries, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8610.00,0.00,8610.00
"M.L. Filters",696.08,9360.00,7897.48,1343.70,5307.08,10924.32,5415.40,11712.00,25254.16,2487.19,13509.78,18499.48,112406.67
"MGT Air Filters",0.00,0.00,0.00,0.00,27282.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27282.00
"Mikropor America",0.00,0.00,0.00,0.00,0.00,0.00,0.00,6816.00,0.00,8056.32,0.00,0.00,14872.32
"Norman S Wright Climatec Mechanical Equip",0.00,0.00,5826.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,0.00,0.00,7826.00
"NXTNANO, LLC",0.00,0.00,74864.00,0.00,16195.60,0.00,31642.00,0.00,0.00,6222.00,69589.80,0.00,198513.40
"Orange County Industrial Plastics",0.00,0.00,3240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3240.00
"P & G Manufacturing",0.00,0.00,0.00,0.00,650.00,4835.00,0.00,0.00,0.00,0.00,1150.00,0.00,6635.00
"Pamlico-Air",369.84,0.00,0.00,0.00,976.21,0.00,0.00,2618.00,0.00,0.00,0.00,0.00,3964.05
"Parker-Hannifin Corporation",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14589.75,14589.75
"Portacool",33440.48,19269.02,21295.20,808.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74813.02
"Precision Filter Products, LLC",0.00,0.00,6606.00,0.00,30094.00,0.00,0.00,0.00,1348.20,0.00,1869.16,1036.42,40953.78
"Pure Effect, Inc.",0.00,0.00,0.00,71000.00,25515.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96515.00
"Pure Process Filtration Inc.",0.00,0.00,0.00,0.00,258.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258.40
"RSE Incorporated",7934.70,0.00,0.00,32045.11,360.43,597.34,19.85,3080.80,11824.66,0.00,0.00,668.08,56530.97
"SHW FILTER-Guangzhou Sun",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15674.06,0.00,36571.60,52245.66
"Smith Filter",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,967.32,0.00,0.00,0.00,967.32
"SoCal Filters and Service",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,971.60,0.00,971.60
"Springfield Spring Corporation",0.00,0.00,0.00,0.00,0.00,0.00,7350.00,0.00,0.00,0.00,0.00,0.00,7350.00
"Terra Universal, Inc.",0.00,0.00,0.00,0.00,7428.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7428.00
"Total Filtration Services",0.00,0.00,0.00,0.00,0.00,0.00,540.78,0.00,0.00,290.20,0.00,0.00,830.98
"United Filters",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,960.00,960.00
"Universal Elastic & Garment",0.00,0.00,720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,720.00
"UV Resources (Steril-Aire)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6359.85,0.00,6359.85
"UVDI UltraViolet Devices, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1982.50,0.00,1982.50
"VFT, Inc. / American Nonwovens Inc.",0.00,0.00,2524.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2524.40
"W.L Gore & Associates, Inc",41250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41250.00
"Wetzel Technologies Co., Ltd",56259.20,17871.60,99638.28,201505.70,271895.11,104864.27,57199.53,0.00,22109.28,190091.61,237247.05,165871.22,1424552.85
"Wetzel Technologies Europe GmbH",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Zabin Industries Inc.",0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1200.00
"TOTAL",432381.82,221661.59,557552.82,540447.31,641778.17,310005.24,231377.45,218179.49,320316.38,622705.73,622781.92,487018.83,5206206.75
